ISLAND DIAMETER REPORT
Generated on: Wed Feb 18 20:36:09 2026
-------------------------------------------------------------------------------------
Island File                    | Size   | Diameter   | Furthest Pair
islands/island_7217.txt        | 21     | 7          | ephemerides <-> euhemerizes
islands/island_7225.txt        | 21     | 6          | indorsors <-> enmossed
islands/island_7364.txt        | 21     | 12         | allerions <-> astroids
islands/island_7387.txt        | 21     | 6          | acolyths <-> analyst
islands/island_7694.txt        | 21     | 6          | philosophist <-> philosophy
islands/island_8621.txt        | 21     | 8          | alkalosis <-> allelic
islands/island_9114.txt        | 21     | 5          | exorcizers <-> sexercise
islands/island_11334.txt       | 21     | 11         | synteny <-> syngenetic
islands/island_16757.txt       | 21     | 6          | rheologist <-> thermologies
islands/island_800.txt         | 20     | 5          | criticizers <-> triticism
islands/island_978.txt         | 20     | 7          | backbiters <-> blacklists
islands/island_1070.txt        | 20     | 6          | saccharates <-> saccharic
islands/island_1361.txt        | 20     | 4          | fetishizes <-> fetichism
islands/island_1530.txt        | 20     | 6          | liquiduses <-> liquefies
islands/island_1811.txt        | 20     | 4          | pelletise <-> palletizers
islands/island_1815.txt        | 20     | 4          | exoticizes <-> eroticism
islands/island_1995.txt        | 20     | 4          | tranquillised <-> tranquilizers
islands/island_2049.txt        | 20     | 7          | materializers <-> paternalist
islands/island_2165.txt        | 20     | 7          | tactualities <-> factualism
islands/island_2214.txt        | 20     | 4          | elasticizes <-> plasticene
islands/island_2607.txt        | 20     | 6          | fidibuses <-> minimizer
islands/island_3976.txt        | 20     | 7          | polyethenes <-> polygons
islands/island_4466.txt        | 20     | 8          | modellos <-> rostellar
islands/island_4554.txt        | 20     | 5          | hypothetized <-> hypotheses
islands/island_5142.txt        | 20     | 8          | obstruction <-> serrations
islands/island_5857.txt        | 20     | 6          | sandmen <-> bondman
islands/island_7020.txt        | 20     | 4          | qabalists <-> kabbalism
islands/island_8209.txt        | 20     | 9          | dishfuls <-> gutsfuls
islands/island_8822.txt        | 20     | 8          | eirenically <-> ohmically
islands/island_9861.txt        | 20     | 5          | phonemicized <-> pheneticist
islands/island_11765.txt       | 20     | 6          | overshade <-> overstayers
islands/island_12452.txt       | 20     | 5          | gormandizers <-> gourmandism
islands/island_12908.txt       | 20     | 4          | albumenized <-> aluminises
islands/island_13122.txt       | 20     | 5          | apologist <-> apologue
islands/island_1580.txt        | 19     | 6          | synergist <-> asynergia
islands/island_1631.txt        | 19     | 7          | vesicates <-> bernicles
islands/island_2546.txt        | 19     | 8          | sicknesses <-> crankinesses
islands/island_2610.txt        | 19     | 8          | globulars <-> oscules
islands/island_3267.txt        | 19     | 7          | unmoulded <-> inkholders
islands/island_3832.txt        | 19     | 5          | subsidy <-> subsidized
islands/island_3849.txt        | 19     | 7          | euthanasic <-> euthanize
islands/island_3937.txt        | 19     | 9          | moveability <-> banality
islands/island_4043.txt        | 19     | 8          | venenates <-> genevas
islands/island_4284.txt        | 19     | 7          | paralogist <-> paragoge
islands/island_5969.txt        | 19     | 7          | bazazz <-> piazze
islands/island_6549.txt        | 19     | 6          | pulverisers <-> wolverene
islands/island_9005.txt        | 19     | 5          | sigmatism <-> stigmatizers
islands/island_10781.txt       | 19     | 5          | melodic <-> melodist
islands/island_10973.txt       | 19     | 7          | professor <-> recense
islands/island_13069.txt       | 19     | 10         | ramuli <-> ramulous
islands/island_14156.txt       | 19     | 5          | lackland <-> backbones
islands/island_14734.txt       | 19     | 7          | diplomatizes <-> diploma
islands/island_14862.txt       | 19     | 6          | botanist <-> botanical
islands/island_16334.txt       | 19     | 9          | banalities <-> moveabilities
islands/island_889.txt         | 18     | 6          | idolizers <-> idyllist
islands/island_1003.txt        | 18     | 7          | darrayns <-> arraigners
islands/island_1515.txt        | 18     | 5          | shaddocks <-> ruddock
islands/island_1599.txt        | 18     | 5          | beclamor <-> belabors
islands/island_2123.txt        | 18     | 7          | osteosis <-> osmious
islands/island_2725.txt        | 18     | 4          | eternalized <-> externalists
islands/island_2904.txt        | 18     | 7          | synapte <-> synopsizes
islands/island_3032.txt        | 18     | 6          | recaptor <-> recensors
islands/island_3037.txt        | 18     | 4          | papadoms <-> poppadum
islands/island_3053.txt        | 18     | 6          | pollenizer <-> pollenosis
islands/island_3193.txt        | 18     | 8          | shopboards <-> garboard
islands/island_4407.txt        | 18     | 4          | mercurised <-> mercerizers
islands/island_5105.txt        | 18     | 4          | magnetists <-> magnesite
islands/island_5174.txt        | 18     | 3          | latinized <-> platinises
islands/island_8127.txt        | 18     | 5          | preserve <-> deserters
islands/island_8321.txt        | 18     | 7          | maulsticks <-> dipstick
islands/island_9347.txt        | 18     | 7          | linemates <-> signages
islands/island_9784.txt        | 18     | 4          | socializers <-> socialist
islands/island_10207.txt       | 18     | 5          | electrolysed <-> electrocuted
islands/island_10764.txt       | 18     | 7          | recharters <-> rehinges
islands/island_10970.txt       | 18     | 9          | metrologist <-> metrologies
islands/island_11711.txt       | 18     | 6          | doomsmen <-> footman
islands/island_15366.txt       | 18     | 5          | lapstones <-> caumstane
islands/island_1473.txt        | 17     | 7          | soberized <-> tubenoses
islands/island_1671.txt        | 17     | 5          | economism <-> economic
islands/island_1750.txt        | 17     | 6          | puldrons <-> chawdron
islands/island_2063.txt        | 17     | 4          | apprized <-> appraisers
islands/island_2356.txt        | 17     | 5          | paeanism <-> paganizers
islands/island_3828.txt        | 17     | 7          | typographies <-> areographies
islands/island_4131.txt        | 17     | 7          | monogyny <-> monotonize
islands/island_4266.txt        | 17     | 10         | foreshewed <-> foreshewn
islands/island_6353.txt        | 17     | 6          | syrphid <-> sulphates
islands/island_6787.txt        | 17     | 8          | preinforming <-> uninforming
islands/island_6861.txt        | 17     | 4          | monachism <-> monarchizes
islands/island_8250.txt        | 17     | 8          | mistressed <-> electoresses
islands/island_8317.txt        | 17     | 5          | dynameters <-> dynamist
islands/island_10312.txt       | 17     | 5          | cassettes <-> caseose
islands/island_13537.txt       | 17     | 4          | novelese <-> novelizers
islands/island_13613.txt       | 17     | 5          | choreographers <-> holographed
islands/island_13918.txt       | 17     | 4          | fantasists <-> fantasia
islands/island_15780.txt       | 17     | 8          | enchain <-> forfairs
islands/island_17991.txt       | 17     | 6          | colloquist <-> colloquy
islands/island_57.txt          | 16     | 5          | terrorizers <-> errorist
islands/island_98.txt          | 16     | 6          | dahabiyeh <-> dahabeeyahs
islands/island_675.txt         | 16     | 6          | acquirers <-> acquest
islands/island_724.txt         | 16     | 6          | absolutives <-> absolute
islands/island_760.txt         | 16     | 4          | matronised <-> patronizers
islands/island_875.txt         | 16     | 4          | genderise <-> tenderizers
islands/island_961.txt         | 16     | 5          | sirenizing <-> lionising
islands/island_1195.txt        | 16     | 7          | enactors <-> exulled
islands/island_1444.txt        | 16     | 5          | asynchronism <-> synchronizers
islands/island_1472.txt        | 16     | 5          | jehad <-> jihadists
islands/island_1532.txt        | 16     | 4          | restabilize <-> destabilisers
islands/island_1550.txt        | 16     | 7          | lyriform <-> oviform
islands/island_1860.txt        | 16     | 4          | remoralize <-> demoralisers
islands/island_2084.txt        | 16     | 4          | journalist <-> journalizers
islands/island_2878.txt        | 16     | 4          | reoxidised <-> deoxidizers
islands/island_3056.txt        | 16     | 6          | ticketings <-> ratcheting
islands/island_3076.txt        | 16     | 7          | electives <-> detectives
islands/island_3796.txt        | 16     | 4          | anesthetized <-> anaesthetists
islands/island_4005.txt        | 16     | 4          | gooroo <-> hoopoes
islands/island_4300.txt        | 16     | 4          | catechesis <-> catechize
islands/island_4511.txt        | 16     | 4          | glamourised <-> glamorizers
islands/island_4552.txt        | 16     | 5          | pitfalls <-> enwall
islands/island_5200.txt        | 16     | 6          | brahmin <-> brahminisms
islands/island_5289.txt        | 16     | 6          | imbodied <-> embolism
islands/island_5307.txt        | 16     | 5          | homogenesis <-> homotonies
islands/island_5768.txt        | 16     | 8          | celebrates <-> cerebrals
islands/island_6454.txt        | 16     | 6          | footrace <-> flowages
islands/island_6717.txt        | 16     | 6          | provisions <-> derision
islands/island_6894.txt        | 16     | 8          | slimness <-> gluiness
islands/island_7030.txt        | 16     | 7          | kalendared <-> kalendars
islands/island_7095.txt        | 16     | 4          | demineralisers <-> remineralize
islands/island_7553.txt        | 16     | 8          | brooklimes <-> rooflines
islands/island_7627.txt        | 16     | 5          | mesmerizers <-> mesomerism
islands/island_7934.txt        | 16     | 11         | pericopal <-> sericins
islands/island_8106.txt        | 16     | 4          | resensitise <-> desensitizers
islands/island_8316.txt        | 16     | 9          | tillerings <-> collectings
islands/island_8638.txt        | 16     | 7          | germiness <-> clumsiness
islands/island_8680.txt        | 16     | 4          | demythologisers <-> remythologized
islands/island_8942.txt        | 16     | 4          | atticism <-> anticizes
islands/island_9105.txt        | 16     | 6          | selenide <-> serenaders
islands/island_9850.txt        | 16     | 4          | repolarise <-> depolarizers
islands/island_10335.txt       | 16     | 4          | quantisers <-> quintile
islands/island_10502.txt       | 16     | 7          | clumsinesses <-> chumminesses
islands/island_12655.txt       | 16     | 6          | periodizes <-> periotics
islands/island_14575.txt       | 16     | 5          | colourisation <-> solonizations
islands/island_15254.txt       | 16     | 6          | delegatees <-> renegado
islands/island_15644.txt       | 16     | 5          | opticist <-> optimizers
islands/island_16910.txt       | 16     | 5          | triallists <-> tribadism
islands/island_19178.txt       | 16     | 8          | pluvians <-> eluviates
islands/island_20822.txt       | 16     | 6          | nylghau <-> ghilgais
islands/island_21330.txt       | 16     | 5          | aureoles <-> areolated
islands/island_21828.txt       | 16     | 4          | carbolised <-> carbonizers
islands/island_23094.txt       | 16     | 8          | slimnesses <-> gluinesses
islands/island_20.txt          | 15     | 5          | francize <-> franchisors
islands/island_477.txt         | 15     | 6          | animateurs <-> animatics
islands/island_605.txt         | 15     | 8          | saltnesses <-> glairinesses
islands/island_632.txt         | 15     | 5          | migrations <-> denitration
islands/island_666.txt         | 15     | 4          | evangelizers <-> evangelist
islands/island_1744.txt        | 15     | 4          | plagiarism <-> plagiarizers
islands/island_1882.txt        | 15     | 7          | attasks <-> attackers
islands/island_2651.txt        | 15     | 5          | insertion <-> inflictions
islands/island_2926.txt        | 15     | 8          | programmers <-> protrudes
islands/island_3711.txt        | 15     | 4          | maximist <-> maximizers
islands/island_4002.txt        | 15     | 8          | lardlike <-> folklives
islands/island_4156.txt        | 15     | 4          | cicatricle <-> cicatrisers
islands/island_4601.txt        | 15     | 5          | oxygenated <-> oxygenizer
islands/island_4842.txt        | 15     | 4          | hydrolyzers <-> hydrolase
islands/island_4925.txt        | 15     | 5          | centralizers <-> centralest
islands/island_4955.txt        | 15     | 4          | archaizers <-> archwise
islands/island_5103.txt        | 15     | 6          | antinomies <-> rantipole
islands/island_5438.txt        | 15     | 7          | immunest <-> imputers
islands/island_6200.txt        | 15     | 4          | feminist <-> geminies
islands/island_6212.txt        | 15     | 6          | parceled <-> marvelers
islands/island_6667.txt        | 15     | 6          | glycaemia <-> glycerides
islands/island_7036.txt        | 15     | 7          | harrowings <-> sorrowings
islands/island_7615.txt        | 15     | 5          | overboots <-> overclock
islands/island_7877.txt        | 15     | 6          | disserves <-> misstates
islands/island_8094.txt        | 15     | 8          | sturgeon <-> bourgeoisies
islands/island_8748.txt        | 15     | 4          | terminated <-> seminates
islands/island_9673.txt        | 15     | 4          | etherizers <-> etherish
islands/island_9838.txt        | 15     | 4          | phosphids <-> phosphated
islands/island_10018.txt       | 15     | 8          | byworks <-> weyard
islands/island_10388.txt       | 15     | 4          | gammocks <-> bummock
islands/island_10758.txt       | 15     | 6          | pyrenoids <-> paranoeas
islands/island_12242.txt       | 15     | 7          | negrophil <-> necrophilic
islands/island_12743.txt       | 15     | 5          | preforms <-> beworm
islands/island_13332.txt       | 15     | 7          | subverters <-> subverts
islands/island_13764.txt       | 15     | 5          | oxidate <-> oxidizers
islands/island_14160.txt       | 15     | 5          | leukemics <-> leuchaemia
islands/island_14214.txt       | 15     | 5          | humanizers <-> humanest
islands/island_18469.txt       | 15     | 7          | arythmias <-> rhythmus
islands/island_22095.txt       | 15     | 7          | essoynes <-> eloigners
islands/island_26626.txt       | 15     | 5          | specialest <-> specializers
islands/island_110.txt         | 14     | 5          | granddads <-> grannom
islands/island_293.txt         | 14     | 4          | martialists <-> partialize
islands/island_315.txt         | 14     | 5          | xerophily <-> oenophilies
islands/island_341.txt         | 14     | 4          | udometers <-> pedometer
islands/island_420.txt         | 14     | 4          | pluralizers <-> pluralism
islands/island_440.txt         | 14     | 5          | superheats <-> superfix
islands/island_490.txt         | 14     | 6          | effete <-> offerors
islands/island_652.txt         | 14     | 4          | posturist <-> posterizes
islands/island_670.txt         | 14     | 6          | narguilehs <-> narghilly
islands/island_952.txt         | 14     | 4          | galvanizers <-> galvanism
islands/island_1025.txt        | 14     | 4          | catalogizes <-> cataloguist
islands/island_1145.txt        | 14     | 4          | epigrammatizers <-> epigrammatist
islands/island_1218.txt        | 14     | 6          | delaminated <-> deaminized
islands/island_1390.txt        | 14     | 4          | hypnotist <-> hypnotizers
islands/island_1596.txt        | 14     | 4          | inveighers <-> inveagle
islands/island_1674.txt        | 14     | 6          | staccati <-> stoccadoes
islands/island_1723.txt        | 14     | 4          | democratizers <-> democratist
islands/island_1758.txt        | 14     | 5          | carbolated <-> carbonadoed
islands/island_1816.txt        | 14     | 8          | tahinis <-> katsinas
islands/island_1901.txt        | 14     | 5          | graplins <-> strawlike
islands/island_1972.txt        | 14     | 4          | choreman <-> sharesmen
islands/island_1997.txt        | 14     | 4          | dogmatizers <-> dogmatism
islands/island_2000.txt        | 14     | 5          | recolonisations <-> decolourization
islands/island_2066.txt        | 14     | 5          | modiworts <-> mowdiewart
islands/island_2142.txt        | 14     | 7          | intensives <-> inflictive
islands/island_2187.txt        | 14     | 4          | sympathizers <-> sympathin
islands/island_2271.txt        | 14     | 4          | neutralist <-> neutralizers
islands/island_2518.txt        | 14     | 7          | torulins <-> nodular
islands/island_2540.txt        | 14     | 4          | lairized <-> laicisms
islands/island_2639.txt        | 14     | 5          | blockboards <-> duckboard
islands/island_2705.txt        | 14     | 4          | syllogizers <-> syllogism
islands/island_3129.txt        | 14     | 4          | dogfood <-> boxwoods
islands/island_3303.txt        | 14     | 8          | normalcy <-> mouldable
islands/island_3315.txt        | 14     | 4          | unionist <-> unionizers
islands/island_3497.txt        | 14     | 4          | methodizers <-> methodist
islands/island_3552.txt        | 14     | 4          | systematizers <-> systematism
islands/island_3565.txt        | 14     | 4          | symbolist <-> symbolizers
islands/island_3715.txt        | 14     | 4          | baptist <-> baptizers
islands/island_3819.txt        | 14     | 4          | conceptualizers <-> conceptualist
islands/island_3856.txt        | 14     | 4          | totalism <-> totalizers
islands/island_3927.txt        | 14     | 4          | organizers <-> organism
islands/island_4021.txt        | 14     | 5          | barmitsvah <-> bathmizvahs
islands/island_4297.txt        | 14     | 9          | autotoxins <-> autotomised
islands/island_4560.txt        | 14     | 4          | interdine <-> interlinears
islands/island_4733.txt        | 14     | 5          | hardcase <-> corcasses
islands/island_4735.txt        | 14     | 5          | secessions <-> profession
islands/island_4748.txt        | 14     | 4          | reverencers <-> preference
